expected_field,vendor_column
uid,
sku,
name,Title
category,Category
description,Description
certificate_images,
ruler_images,
currency,
price,GEMGEM PRICE
discounted_price,
to_be_listed,
have_master_piece,
year-of-purchase,
condition,Condition (Selection)
packaging-info,
ring-style,
brand,
engagement-rings-solitaire-hashes,
engagement-rings-options,
engagement-rings-other-hashes,
metal,
gender,
total-weight,
standard-size,Default Ring Size
resize-from,
resize-to,
resize-supported,
gold-purity,
earring-style,
earring-type,
earring-solitaire-hashes,
earring-studs-options,
earring-other-hashes,
bracelet-style,
bracelet-style-other-hashes,
size-length,Bracelet Length (in)
size-width,
size-unit,
necklace-style,
necklace-style-other-hashes,
pendant-style,
pendant-style-solitaire-hashes,
pendant-style-object-hashes,
brooch-style,
brooch-style-hashes,
accessories-style,
label,
diamond_quantity,
diamond_certification,Lab
diamond_certification-number,Certificate#
diamond_carat-weight,
diamond_diamond-shape,
diamond_diamond-color,
diamond_diamond-color-white-options,
diamond_diamond-color-fancy-options,
diamond_diamond-clarity,
diamond_diamond-cut,
diamond_diamond-polish,
diamond_diamond-symmetry,
diamond_diamond-fluoroscence,
diamond_diamond-girdle,
diamond_average-color,
diamond_average-clarity,
diamond_approximate-carat-weight,
diamond_center-stone,
diamond_diamond-grade,
gemstone_quantity,
gemstone_gold-purity,
gemstone_certification,
gemstone_certification-number,
gemstone_carat-weight,
gemstone_diamond-color-fancy-options,
gemstone_gem-stone-shape,
gemstone_gem-stone-color,
gemstone_gem-stone-clarity,
gemstone_gem-stone-cut,
gemstone_pearl-shape,
gemstone_pearl-color,
gemstone_pearl-clarity,
gemstone_pearl-lustre,
gemstone_stone-type,
gemstone_stone-type-pearl-options,
gemstone_ruby-color,
gemstone_ruby-origin,
gemstone_ruby-enhancement,
gemstone_blue-sapphire-color,
gemstone_blue-sapphire-origin,
gemstone_blue-sapphire-enhancement,
gemstone_emerald-color,
gemstone_emerald-origin,
gemstone_emerald-enhancement,
gemstone_chrysoberyl-origin,
gemstone_chrysoberyl-enhancement,
gemstone_tourmaline-origin,
gemstone_tourmaline-enhancement,
gemstone_aquamarine-origin,
gemstone_aquamarine-enhancement,
gemstone_sapphire-origin,
gemstone_sapphire-enhancement,
gemstone_padparadscha-sapphire-color,
gemstone_padparadscha-sapphire-origin,
gemstone_padparadscha-sapphire-enhancement,
gemstone_approximate-carat-weight,
gemstone_center-stone,
gemstone_jade-color,
gemstone_jade-origin,
gemstone_diamond-grade,
gemstone_chrysoberyl-color,
gemstone_tourmaline-color,
gemstone_aquamarine-color,
gemstone_jade-clarity,
gemstone_pearl-origin,
